,sample_idx,segment_idx,start_idx,end_idx,y_idx,y,stratification_label,split
55,8574,0,0,130,6,grab,grab,train
56,4346,0,0,130,6,grab,grab,train
57,3441,0,0,130,6,grab,grab,train
58,6919,0,0,130,6,grab,grab,valid
59,7570,0,0,130,6,grab,grab,train
60,4520,0,0,130,6,grab,grab,train
61,2244,0,0,130,6,grab,grab,train
62,4617,0,0,130,6,grab,grab,train
63,3063,0,0,130,6,grab,grab,train
64,4921,0,0,130,6,grab,grab,train
65,3015,0,0,130,6,grab,grab,train
66,9795,0,0,130,6,grab,grab,train
67,4692,0,0,130,6,grab,grab,train
68,9671,0,0,130,6,grab,grab,train
69,5922,0,0,130,6,grab,grab,train
70,4737,0,0,130,6,grab,grab,train
71,6845,0,0,130,6,grab,grab,train
72,8930,0,0,130,6,grab,grab,train
73,5258,0,0,130,6,grab,grab,train
74,4467,0,0,130,6,grab,grab,train
75,9722,0,0,130,6,grab,grab,train
76,2620,0,0,130,6,grab,grab,train
77,3527,0,0,130,6,grab,grab,train
78,4207,0,0,130,6,grab,grab,train
79,2933,0,0,130,6,grab,grab,train
80,7679,0,0,130,6,grab,grab,valid
81,2681,0,0,130,6,grab,grab,train
82,4584,0,0,130,6,grab,grab,train
83,10038,0,0,130,6,grab,grab,train
84,4693,0,0,130,6,grab,grab,train
85,824,0,0,130,6,grab,grab,train
86,7046,0,0,130,6,grab,grab,train
87,4224,0,0,130,6,grab,grab,train
88,823,0,0,130,6,grab,grab,train
89,4386,0,0,130,6,grab,grab,train
90,1547,0,0,130,6,grab,grab,train
91,9744,0,0,130,6,grab,grab,valid
92,3582,0,0,130,6,grab,grab,train
93,9353,0,0,130,6,grab,grab,train
94,3975,0,0,130,6,grab,grab,train
95,3161,0,0,130,6,grab,grab,train
96,3333,0,0,130,6,grab,grab,train
97,8707,0,0,130,6,grab,grab,train
98,8550,0,0,130,6,grab,grab,train
99,1190,0,0,130,6,grab,grab,train
100,9439,0,0,130,6,grab,grab,train
101,5682,0,0,130,6,grab,grab,train
102,6315,0,0,130,6,grab,grab,train
103,5684,0,0,130,6,grab,grab,train
104,7636,0,0,130,6,grab,grab,train
105,9631,0,0,130,6,grab,grab,valid
106,6230,0,0,130,6,grab,grab,train
107,7779,0,0,130,6,grab,grab,train
108,945,0,0,130,6,grab,grab,train
109,3817,0,0,130,6,grab,grab,train
110,5484,0,0,130,6,grab,grab,train
111,8274,0,0,130,6,grab,grab,train
112,9995,0,0,130,6,grab,grab,train
113,9958,0,0,130,6,grab,grab,train
114,7702,0,0,130,6,grab,grab,train
115,2595,0,0,130,6,grab,grab,train
116,2245,0,0,130,6,grab,grab,train
117,3769,0,0,130,6,grab,grab,train
118,7961,0,0,130,6,grab,grab,train
119,5142,0,0,130,6,grab,grab,train
120,1409,0,0,130,6,grab,grab,train
121,6769,0,0,130,6,grab,grab,train
122,9271,0,0,130,6,grab,grab,train
123,9094,0,0,130,6,grab,grab,train
124,5257,0,0,130,6,grab,grab,train
125,9093,0,0,130,6,grab,grab,train
126,8708,0,0,130,6,grab,grab,train
127,9352,0,0,130,6,grab,grab,train
128,2436,0,0,130,6,grab,grab,train
129,3402,0,0,130,6,grab,grab,train
130,6148,0,0,130,6,grab,grab,valid
131,7533,0,0,130,6,grab,grab,train
132,4774,0,0,130,6,grab,grab,train
133,1136,0,0,130,6,grab,grab,train
134,1214,0,0,130,6,grab,grab,train
135,6626,0,0,130,6,grab,grab,train
136,1323,0,0,130,6,grab,grab,train
137,2977,0,0,130,6,grab,grab,train
138,9440,0,0,130,6,grab,grab,train
139,3064,0,0,130,6,grab,grab,train
140,7221,0,0,130,6,grab,grab,train
141,6196,0,0,130,6,grab,grab,train
142,5841,0,0,130,6,grab,grab,train
143,4619,0,0,130,6,grab,grab,train
144,114,0,0,130,6,grab,grab,train
145,5749,0,0,130,6,grab,grab,train
146,8980,0,0,130,6,grab,grab,train
147,2738,0,0,130,6,grab,grab,train
148,8201,0,0,130,6,grab,grab,train
149,7242,0,0,130,6,grab,grab,train
150,9630,0,0,130,6,grab,grab,train
151,3935,0,0,130,6,grab,grab,train
152,4208,0,0,130,6,grab,grab,train
153,674,0,0,130,6,grab,grab,train
154,116,0,0,130,6,grab,grab,train
155,7380,0,0,130,6,grab,grab,train
156,6738,0,0,130,6,grab,grab,train
157,1443,0,0,130,6,grab,grab,train
158,2932,0,0,130,6,grab,grab,train
159,8404,0,0,130,6,grab,grab,train
160,9670,0,0,130,6,grab,grab,valid
161,620,0,0,130,6,grab,grab,valid
162,8618,0,0,130,6,grab,grab,train
163,6107,0,0,130,6,grab,grab,train
164,5291,0,0,130,6,grab,grab,train
165,7000,0,0,130,6,grab,grab,train
166,8749,0,0,130,6,grab,grab,valid
167,7701,0,0,130,6,grab,grab,train
168,1713,0,0,130,6,grab,grab,train
169,5376,0,0,130,6,grab,grab,train
170,947,0,0,130,6,grab,grab,train
171,3933,0,0,130,6,grab,grab,train
172,6878,0,0,130,6,grab,grab,train
173,461,0,0,130,6,grab,grab,train
174,1258,0,0,130,6,grab,grab,train
175,8474,0,0,130,6,grab,grab,train
176,4091,0,0,130,6,grab,grab,train
177,1473,0,0,130,6,grab,grab,train
178,5059,0,0,130,6,grab,grab,train
179,5144,0,0,130,6,grab,grab,train
180,5485,0,0,130,6,grab,grab,train
181,2596,0,0,130,6,grab,grab,train
182,7913,0,0,130,6,grab,grab,train
183,7489,0,0,130,6,grab,grab,train
184,2736,0,0,130,6,grab,grab,train
185,257,0,0,130,6,grab,grab,train
186,4887,0,0,130,6,grab,grab,train
187,3818,0,0,130,6,grab,grab,train
188,256,0,0,130,6,grab,grab,train
189,5988,0,0,130,6,grab,grab,valid
190,2169,0,0,130,6,grab,grab,train
191,7140,0,0,130,6,grab,grab,valid
192,1791,0,0,130,6,grab,grab,train
193,1940,0,0,130,6,grab,grab,train
194,534,0,0,130,6,grab,grab,train
195,6105,0,0,130,6,grab,grab,train
196,6484,0,0,130,6,grab,grab,train
197,6795,0,0,130,6,grab,grab,train
198,4518,0,0,130,6,grab,grab,train
199,974,0,0,130,6,grab,grab,train
200,5748,0,0,130,6,grab,grab,train
201,2101,0,0,130,6,grab,grab,valid
202,6954,0,0,130,6,grab,grab,train
203,7381,0,0,130,6,grab,grab,train
204,684,0,0,130,6,grab,grab,train
205,1991,0,0,130,6,grab,grab,valid
206,2907,0,0,130,6,grab,grab,train
207,3973,0,0,130,6,grab,grab,train
208,9528,0,0,130,6,grab,grab,train
209,6796,0,0,130,6,grab,grab,train
210,6483,0,0,130,6,grab,grab,train
211,2487,0,0,130,6,grab,grab,train
212,3584,0,0,130,6,grab,grab,train
213,1352,0,0,130,6,grab,grab,train
214,537,0,0,130,6,grab,grab,train
215,8657,0,0,130,6,grab,grab,train
216,9248,0,0,130,6,grab,grab,train
217,5633,0,0,130,6,grab,grab,train
218,289,0,0,130,6,grab,grab,train
219,4115,0,0,130,6,grab,grab,train
220,6041,0,0,130,6,grab,grab,train
221,2328,0,0,130,6,grab,grab,train
222,3100,0,0,130,6,grab,grab,train
223,3378,0,0,130,6,grab,grab,train
224,5418,0,0,130,6,grab,grab,train
225,8013,0,0,130,6,grab,grab,train
226,9746,0,0,130,6,grab,grab,train
227,8806,0,0,130,6,grab,grab,train
228,5447,0,0,130,6,grab,grab,train
229,6529,0,0,130,6,grab,grab,train
230,7223,0,0,130,6,grab,grab,train
231,8483,0,0,130,6,grab,grab,train
232,5924,0,0,130,6,grab,grab,train
233,1824,0,0,130,6,grab,grab,train
234,3700,0,0,130,6,grab,grab,train
235,4853,0,0,130,6,grab,grab,train
236,9208,0,0,130,6,grab,grab,train
237,590,0,0,130,6,grab,grab,train
238,4519,0,0,130,6,grab,grab,train
239,5231,0,0,130,6,grab,grab,train
240,745,0,0,130,6,grab,grab,train
241,9207,0,0,130,6,grab,grab,valid
242,386,0,0,130,6,grab,grab,train
243,3526,0,0,130,6,grab,grab,valid
244,4990,0,0,130,6,grab,grab,train
245,5173,0,0,130,6,grab,grab,train
246,8706,0,0,130,6,grab,grab,train
247,7490,0,0,130,6,grab,grab,train
248,3099,0,0,130,6,grab,grab,train
249,4035,0,0,130,6,grab,grab,train
250,7780,0,0,130,6,grab,grab,train
251,6625,0,0,130,6,grab,grab,valid
252,8080,0,0,130,6,grab,grab,valid
253,5230,0,0,130,6,grab,grab,train
254,8131,0,0,130,6,grab,grab,train
255,3816,0,0,130,6,grab,grab,train
256,7882,0,0,130,6,grab,grab,train
257,9311,0,0,130,6,grab,grab,train
258,9153,0,0,130,6,grab,grab,train
259,2489,0,0,130,6,grab,grab,train
260,7585,0,0,130,6,grab,grab,train
261,6147,0,0,130,6,grab,grab,train
262,4585,0,0,130,6,grab,grab,train
263,7001,0,0,130,6,grab,grab,train
264,2931,0,0,130,6,grab,grab,train
265,8391,0,0,130,6,grab,grab,train
266,7445,0,0,130,6,grab,grab,train
267,4161,0,0,130,6,grab,grab,train
268,6549,0,0,130,6,grab,grab,train
269,1668,0,0,130,6,grab,grab,valid
270,8616,0,0,130,6,grab,grab,valid
271,5117,0,0,130,6,grab,grab,train
272,6739,0,0,130,6,grab,grab,train
273,4618,0,0,130,6,grab,grab,valid
274,5791,0,0,130,6,grab,grab,train
275,9957,0,0,130,6,grab,grab,train
276,6228,0,0,130,6,grab,grab,valid
277,6106,0,0,130,6,grab,grab,train
278,7293,0,0,130,6,grab,grab,train
279,1257,0,0,130,6,grab,grab,train
280,7534,0,0,130,6,grab,grab,train
281,4442,0,0,130,6,grab,grab,train
282,1871,0,0,130,6,grab,grab,train
283,5683,0,0,130,6,grab,grab,train
284,8014,0,0,130,6,grab,grab,train
285,2137,0,0,130,6,grab,grab,train
286,9609,0,0,130,6,grab,grab,train
287,1519,0,0,130,6,grab,grab,train
288,7637,0,0,130,6,grab,grab,train
289,7995,0,0,130,6,grab,grab,train
290,74,0,0,130,6,grab,grab,train
291,3379,0,0,130,6,grab,grab,train
292,5790,0,0,130,6,grab,grab,train
293,2437,0,0,130,6,grab,grab,train
294,5843,0,0,130,6,grab,grab,train
295,9885,0,0,130,6,grab,grab,valid
296,7061,0,0,130,6,grab,grab,train
297,8886,0,0,130,6,grab,grab,train
298,8405,0,0,130,6,grab,grab,train
299,3856,0,0,130,6,grab,grab,train
300,6844,0,0,130,6,grab,grab,train
301,1826,0,0,130,6,grab,grab,train
302,7104,0,0,130,6,grab,grab,train
303,6665,0,0,130,6,grab,grab,train
304,2737,0,0,130,6,grab,grab,train
305,1188,0,0,130,6,grab,grab,train
306,469,0,0,130,6,grab,grab,train
307,7325,0,0,130,6,grab,grab,train
308,8575,0,0,130,6,grab,grab,valid
309,7244,0,0,130,6,grab,grab,train
310,115,0,0,130,6,grab,grab,train
311,8482,0,0,130,6,grab,grab,train
312,4225,0,0,130,6,grab,grab,train
313,7295,0,0,130,6,grab,grab,valid
314,8237,0,0,130,6,grab,grab,train
315,2597,0,0,130,6,grab,grab,valid
316,8655,0,0,130,6,grab,grab,train
317,7911,0,0,130,6,grab,grab,train
318,2488,0,0,130,6,grab,grab,train
319,4304,0,0,130,6,grab,grab,train
320,3222,0,0,130,6,grab,grab,train
321,3307,0,0,130,6,grab,grab,train
322,9209,0,0,130,6,grab,grab,train
323,4957,0,0,130,6,grab,grab,train
324,619,0,0,130,6,grab,grab,train
325,7852,0,0,130,6,grab,grab,train
326,4469,0,0,130,6,grab,grab,train
327,6316,0,0,130,6,grab,grab,train
328,8235,0,0,130,6,grab,grab,train
329,7142,0,0,130,6,grab,grab,train
330,5143,0,0,130,6,grab,grab,train
331,4956,0,0,130,6,grab,grab,train
332,4922,0,0,130,6,grab,grab,train
333,2100,0,0,130,6,grab,grab,train
334,8199,0,0,130,6,grab,grab,train
335,870,0,0,130,6,grab,grab,train
336,9154,0,0,130,6,grab,grab,train
337,2867,0,0,130,6,grab,grab,valid
338,9419,0,0,130,6,grab,grab,train
339,5550,0,0,130,6,grab,grab,valid
340,227,0,0,130,6,grab,grab,train
341,470,0,0,130,6,grab,grab,train
342,4851,0,0,130,6,grab,grab,train
343,539,0,0,130,6,grab,grab,valid
344,5533,0,0,130,6,grab,grab,train
345,8928,0,0,130,6,grab,grab,valid
346,9796,0,0,130,6,grab,grab,train
347,33,0,0,130,6,grab,grab,train
348,4888,0,0,130,6,grab,grab,train
349,7740,0,0,130,6,grab,grab,train
350,384,0,0,130,6,grab,grab,train
351,4694,0,0,130,6,grab,grab,train
352,4468,0,0,130,6,grab,grab,train
353,8081,0,0,130,6,grab,grab,train
354,6378,0,0,130,6,grab,grab,train
355,5750,0,0,130,6,grab,grab,train
356,2793,0,0,130,6,grab,grab,train
357,2619,0,0,130,6,grab,grab,train
358,8974,0,0,130,6,grab,grab,train
359,7222,0,0,130,6,grab,grab,train
360,2064,0,0,130,6,grab,grab,train
361,8552,0,0,130,6,grab,grab,train
362,6040,0,0,130,6,grab,grab,train
363,1670,0,0,130,6,grab,grab,train
364,9155,0,0,130,6,grab,grab,train
365,4271,0,0,130,6,grab,grab,train
366,1325,0,0,130,6,grab,grab,valid
367,3636,0,0,130,6,grab,grab,train
368,2839,0,0,130,6,grab,grab,train
369,2171,0,0,130,6,grab,grab,train
370,5706,0,0,130,6,grab,grab,train
371,5290,0,0,130,6,grab,grab,train
372,5552,0,0,130,6,grab,grab,train
373,8403,0,0,130,6,grab,grab,train
374,3638,0,0,130,6,grab,grab,train
375,3586,0,0,130,6,grab,grab,train
376,5532,0,0,130,6,grab,grab,train
377,2170,0,0,130,6,grab,grab,train
378,2136,0,0,130,6,grab,grab,train
379,7294,0,0,130,6,grab,grab,train
380,9417,0,0,130,6,grab,grab,train
381,3857,0,0,130,6,grab,grab,train
382,9669,0,0,130,6,grab,grab,train
383,893,0,0,130,6,grab,grab,train
384,2795,0,0,130,6,grab,grab,train
385,4989,0,0,130,6,grab,grab,valid
386,673,0,0,130,6,grab,grab,train
387,7584,0,0,130,6,grab,grab,valid
388,2545,0,0,130,6,grab,grab,train
389,1298,0,0,130,6,grab,grab,valid
390,1714,0,0,130,6,grab,grab,train
391,3585,0,0,130,6,grab,grab,train
392,7741,0,0,130,6,grab,grab,train
393,35,0,0,130,6,grab,grab,train
394,342,0,0,130,6,grab,grab,train
395,2838,0,0,130,6,grab,grab,train
396,129,0,0,130,6,grab,grab,train
397,5172,0,0,130,6,grab,grab,train
398,5930,0,0,130,6,grab,grab,train
399,6267,0,0,130,6,grab,grab,train
400,7851,0,0,130,6,grab,grab,train
401,1025,0,0,130,6,grab,grab,valid
402,7853,0,0,130,6,grab,grab,train
403,6409,0,0,130,6,grab,grab,train
404,1134,0,0,130,6,grab,grab,train
405,5289,0,0,130,6,grab,grab,train
406,3308,0,0,130,6,grab,grab,train
407,2246,0,0,130,6,grab,grab,train
408,1444,0,0,130,6,grab,grab,train
409,7959,0,0,130,6,grab,grab,train
410,2414,0,0,130,6,grab,grab,train
411,1023,0,0,130,6,grab,grab,train
412,5446,0,0,130,6,grab,grab,train
413,7106,0,0,130,6,grab,grab,valid
414,4206,0,0,130,6,grab,grab,train
415,1630,0,0,130,6,grab,grab,train
416,4920,0,0,130,6,grab,grab,train
417,4795,0,0,130,6,grab,grab,train
418,8472,0,0,130,6,grab,grab,train
419,5842,0,0,130,6,grab,grab,train
420,3404,0,0,130,6,grab,grab,train
421,871,0,0,130,6,grab,grab,train
422,8236,0,0,130,6,grab,grab,train
423,4522,0,0,130,6,grab,grab,train
424,6876,0,0,130,6,grab,grab,train
425,5708,0,0,130,6,grab,grab,train
426,6453,0,0,130,6,grab,grab,train
427,6410,0,0,130,6,grab,grab,valid
428,5318,0,0,130,6,grab,grab,train
429,3101,0,0,130,6,grab,grab,train
430,1889,0,0,130,6,grab,grab,train
431,672,0,0,130,6,grab,grab,train
432,1869,0,0,130,6,grab,grab,train
433,6278,0,0,130,6,grab,grab,train
434,9247,0,0,130,6,grab,grab,train
435,744,0,0,130,6,grab,grab,train
436,9270,0,0,130,6,grab,grab,train
437,4269,0,0,130,6,grab,grab,train
438,4852,0,0,130,6,grab,grab,train
439,618,0,0,130,6,grab,grab,train
440,8866,0,0,130,6,grab,grab,train
441,1135,0,0,130,6,grab,grab,train
442,2279,0,0,130,6,grab,grab,train
443,2412,0,0,130,6,grab,grab,train
444,4586,0,0,130,6,grab,grab,train
445,4036,0,0,130,6,grab,grab,train
446,4090,0,0,130,6,grab,grab,train
447,3065,0,0,130,6,grab,grab,train
448,6197,0,0,130,6,grab,grab,train
449,131,0,0,130,6,grab,grab,train
450,1073,0,0,130,6,grab,grab,train
451,6684,0,0,130,6,grab,grab,train
452,8348,0,0,130,6,grab,grab,train
453,5923,0,0,130,6,grab,grab,train
454,3583,0,0,130,6,grab,grab,valid
455,3134,0,0,130,6,grab,grab,valid
456,7881,0,0,130,6,grab,grab,train
457,4114,0,0,130,6,grab,grab,train
458,8392,0,0,130,6,grab,grab,train
459,746,0,0,130,6,grab,grab,valid
460,4991,0,0,130,6,grab,grab,train
461,1989,0,0,130,6,grab,grab,valid
462,1189,0,0,130,6,grab,grab,train
463,9046,0,0,130,6,grab,grab,train
464,9351,0,0,130,6,grab,grab,train
465,6797,0,0,130,6,grab,grab,train
466,343,0,0,130,6,grab,grab,train
467,5377,0,0,130,6,grab,grab,train
468,1629,0,0,130,6,grab,grab,train
469,4794,0,0,130,6,grab,grab,train
470,4388,0,0,130,6,grab,grab,train
471,2278,0,0,130,6,grab,grab,train
472,6075,0,0,130,6,grab,grab,train
473,2544,0,0,130,6,grab,grab,train
474,3701,0,0,130,6,grab,grab,valid
475,3443,0,0,130,6,grab,grab,valid
476,8748,0,0,130,6,grab,grab,valid
477,6076,0,0,130,6,grab,grab,train
478,226,0,0,130,6,grab,grab,train
479,1351,0,0,130,6,grab,grab,train
480,3160,0,0,130,6,grab,grab,train
481,5610,0,0,130,6,grab,grab,train
482,9886,0,0,130,6,grab,grab,train
483,460,0,0,130,6,grab,grab,train
484,9994,0,0,130,6,grab,grab,valid
485,459,0,0,130,6,grab,grab,train
486,7444,0,0,130,6,grab,grab,train
487,7419,0,0,130,6,grab,grab,train
488,6770,0,0,130,6,grab,grab,train
489,7045,0,0,130,6,grab,grab,train
490,3224,0,0,130,6,grab,grab,train
491,8275,0,0,130,6,grab,grab,valid
492,685,0,0,130,6,grab,grab,train
493,9438,0,0,130,6,grab,grab,train
494,2546,0,0,130,6,grab,grab,train
495,7960,0,0,130,6,grab,grab,train
496,9460,0,0,130,6,grab,grab,train
497,6877,0,0,130,6,grab,grab,train
498,2679,0,0,130,6,grab,grab,train
499,6624,0,0,130,6,grab,grab,train
500,4641,0,0,130,6,grab,grab,train
501,9394,0,0,130,6,grab,grab,train
502,3334,0,0,130,6,grab,grab,train
503,8973,0,0,130,6,grab,grab,train
504,4958,0,0,130,6,grab,grab,valid
505,6663,0,0,130,6,grab,grab,train
506,3859,0,0,130,6,grab,grab,train
507,9907,0,0,130,6,grab,grab,train
508,288,0,0,130,6,grab,grab,valid
509,9095,0,0,130,6,grab,grab,train
510,2203,0,0,130,6,grab,grab,valid
511,3505,0,0,130,6,grab,grab,train
512,2138,0,0,130,6,grab,grab,train
513,2202,0,0,130,6,grab,grab,train
514,2066,0,0,130,6,grab,grab,train
515,5060,0,0,130,6,grab,grab,train
516,8617,0,0,130,6,grab,grab,train
517,9310,0,0,130,6,grab,grab,train
518,6269,0,0,130,6,grab,grab,train
519,4738,0,0,130,6,grab,grab,train
520,6379,0,0,130,6,grab,grab,train
521,5046,0,0,130,6,grab,grab,train
522,9842,0,0,130,6,grab,grab,train
523,3335,0,0,130,6,grab,grab,train
524,8656,0,0,130,6,grab,grab,train
525,1297,0,0,130,6,grab,grab,train
526,2204,0,0,130,6,grab,grab,train
527,538,0,0,130,6,grab,grab,train
528,184,0,0,130,6,grab,grab,train
529,8979,0,0,130,6,grab,grab,train
530,9569,0,0,130,6,grab,grab,train
531,3223,0,0,130,6,grab,grab,train
532,8130,0,0,130,6,grab,grab,train
533,9125,0,0,130,6,grab,grab,train
534,1024,0,0,130,6,grab,grab,train
535,3525,0,0,130,6,grab,grab,train
536,6551,0,0,130,6,grab,grab,train
537,2330,0,0,130,6,grab,grab,train
538,3855,0,0,130,6,grab,grab,train
539,9393,0,0,130,6,grab,grab,train
540,6454,0,0,130,6,grab,grab,train
541,3191,0,0,130,6,grab,grab,train
542,1631,0,0,130,6,grab,grab,train
543,468,0,0,130,6,grab,grab,train
544,2413,0,0,130,6,grab,grab,train
545,1546,0,0,130,6,grab,grab,train
546,8276,0,0,130,6,grab,grab,train
547,1610,0,0,130,6,grab,grab,train
548,7781,0,0,130,6,grab,grab,train
549,1213,0,0,130,6,grab,grab,train
550,780,0,0,130,6,grab,grab,train
551,2438,0,0,130,6,grab,grab,train
552,5047,0,0,130,6,grab,grab,train
553,4642,0,0,130,6,grab,grab,train
554,9993,0,0,130,6,grab,grab,train
555,385,0,0,130,6,grab,grab,valid
556,8867,0,0,130,6,grab,grab,train
557,2368,0,0,130,6,grab,grab,train
558,7703,0,0,130,6,grab,grab,train
559,2865,0,0,130,6,grab,grab,train
560,4344,0,0,130,6,grab,grab,valid
561,3977,0,0,130,6,grab,grab,valid
562,7059,0,0,130,6,grab,grab,valid
563,6686,0,0,130,6,grab,grab,train
564,1212,0,0,130,6,grab,grab,valid
565,8079,0,0,130,6,grab,grab,valid
566,1408,0,0,130,6,grab,grab,valid
567,6956,0,0,130,6,grab,grab,train
568,3934,0,0,130,6,grab,grab,train
569,1350,0,0,130,6,grab,grab,train
570,1793,0,0,130,6,grab,grab,train
571,8110,0,0,130,6,grab,grab,train
572,6380,0,0,130,6,grab,grab,train
573,5929,0,0,130,6,grab,grab,train
574,7166,0,0,130,6,grab,grab,train
575,9567,0,0,130,6,grab,grab,train
576,3403,0,0,130,6,grab,grab,train
577,822,0,0,130,6,grab,grab,train
578,2840,0,0,130,6,grab,grab,train
579,3768,0,0,130,6,grab,grab,train
580,892,0,0,130,6,grab,grab,train
581,5631,0,0,130,6,grab,grab,train
582,1888,0,0,130,6,grab,grab,train
583,8473,0,0,130,6,grab,grab,train
584,7421,0,0,130,6,grab,grab,train
585,686,0,0,130,6,grab,grab,train
586,3972,0,0,130,6,grab,grab,train
587,2369,0,0,130,6,grab,grab,train
588,3504,0,0,130,6,grab,grab,train
589,1939,0,0,130,6,grab,grab,train
590,6920,0,0,130,6,grab,grab,train
591,5378,0,0,130,6,grab,grab,train
592,2065,0,0,130,6,grab,grab,train
593,290,0,0,130,6,grab,grab,train
594,8015,0,0,130,6,grab,grab,train
595,9908,0,0,130,6,grab,grab,valid
596,3380,0,0,130,6,grab,grab,train
597,6955,0,0,130,6,grab,grab,train
598,8778,0,0,130,6,grab,grab,train
599,1445,0,0,130,6,grab,grab,train
600,9459,0,0,130,6,grab,grab,train
601,5445,0,0,130,6,grab,grab,train
602,7060,0,0,130,6,grab,grab,train
603,782,0,0,130,6,grab,grab,train
604,781,0,0,130,6,grab,grab,train
605,9632,0,0,130,6,grab,grab,train
606,8346,0,0,130,6,grab,grab,train
607,7535,0,0,130,6,grab,grab,train
608,2329,0,0,130,6,grab,grab,train
609,7443,0,0,130,6,grab,grab,train
610,8888,0,0,130,6,grab,grab,train
611,8347,0,0,130,6,grab,grab,train
612,9887,0,0,130,6,grab,grab,train
613,5882,0,0,130,6,grab,grab,train
614,1715,0,0,130,6,grab,grab,train
615,4113,0,0,130,6,grab,grab,train
616,8779,0,0,130,6,grab,grab,train
617,5419,0,0,130,6,grab,grab,train
618,410,0,0,130,6,grab,grab,train
619,946,0,0,130,6,grab,grab,train
620,7044,0,0,130,6,grab,grab,train
621,9418,0,0,130,6,grab,grab,train
622,2976,0,0,130,6,grab,grab,train
623,3255,0,0,130,6,grab,grab,valid
624,9733,0,0,130,1,hand swipe left,hand swipe left,train
625,1031,0,0,130,1,hand swipe left,hand swipe left,train
626,3990,0,0,130,1,hand swipe left,hand swipe left,train
627,8883,0,0,130,1,hand swipe left,hand swipe left,train
628,8002,0,0,130,1,hand swipe left,hand swipe left,valid
629,368,0,0,130,1,hand swipe left,hand swipe left,train
630,5540,0,0,130,1,hand swipe left,hand swipe left,train
631,3128,0,0,130,1,hand swipe left,hand swipe left,valid
632,1775,0,0,130,1,hand swipe left,hand swipe left,train
633,1908,0,0,130,1,hand swipe left,hand swipe left,valid
634,8520,0,0,130,1,hand swipe left,hand swipe left,train
635,5925,0,0,130,1,hand swipe left,hand swipe left,valid
636,6142,0,0,130,1,hand swipe left,hand swipe left,train
637,463,0,0,130,1,hand swipe left,hand swipe left,train
638,2588,0,0,130,1,hand swipe left,hand swipe left,train
639,7269,0,0,130,1,hand swipe left,hand swipe left,train
640,7560,0,0,130,1,hand swipe left,hand swipe left,train
641,3198,0,0,130,1,hand swipe left,hand swipe left,train
642,8195,0,0,130,1,hand swipe left,hand swipe left,train
643,751,0,0,130,1,hand swipe left,hand swipe left,train
644,1521,0,0,130,1,hand swipe left,hand swipe left,train
645,4660,0,0,130,1,hand swipe left,hand swipe left,train
646,9878,0,0,130,1,hand swipe left,hand swipe left,valid
647,9557,0,0,130,1,hand swipe left,hand swipe left,train
648,8572,0,0,130,1,hand swipe left,hand swipe left,train
649,2936,0,0,130,1,hand swipe left,hand swipe left,train
650,1523,0,0,130,1,hand swipe left,hand swipe left,train
651,8972,0,0,130,1,hand swipe left,hand swipe left,train
